id_municipio;População total urbana;Volume produzido (1000 m³);Volume coletado (1000 m³);Volume tratado (1000 m³);Relação coletado/produzido;Relação tratado/coletado;Relação tratado/produzido;Ano;Possui dado interpolado
1122;8337;395.59;243.07;243.07;0.61;1.0;0.61;2021;False
1123;2043;96.94;0.0;0.0;0.0;0.0;0.0;2021;False
1124;3901;185.1;0.0;0.0;0.0;0.0;0.0;2021;False
1125;13153;624.11;0.0;0.0;0.0;0.0;0.0;2021;False
1126;2324;110.27;41.72;41.72;0.38;1.0;0.38;2021;False
1127;25748;1221.74;902.61;902.34;0.74;1.0;0.74;2021;False
1128;62730;2976.54;5800.0;5200.0;1.95;0.9;1.75;2021;False
1129;1328;63.01;0.0;0.0;0.0;0.0;0.0;2021;False
1130;7908;375.23;0.0;0.0;0.0;0.0;0.0;2021;False
1131;7256;344.3;142.57;142.57;0.41;1.0;0.41;2021;False
1132;12581;596.97;270.67;270.67;0.45;1.0;0.45;2021;False
1133;4097;194.4;0.0;0.0;0.0;0.0;0.0;2021;False
1134;42395;2011.64;1612.27;1612.27;0.8;1.0;0.8;2021;False
1135;2001;94.95;0.0;0.0;0.0;0.0;0.0;2021;False
1136;3719;176.47;0.0;0.0;0.0;0.0;0.0;2021;False
1137;14515;688.74;0.0;0.0;0.0;0.0;0.0;2021;False
1138;4099;194.5;0.0;0.0;0.0;0.0;0.0;2021;False
1139;3384;160.57;0.0;0.0;0.0;0.0;0.0;2021;False
1140;8464;401.62;0.0;0.0;0.0;0.0;0.0;2021;False
1141;27927;1325.14;0.0;0.0;0.0;0.0;0.0;2021;False
1142;42494;2016.34;584.91;584.91;0.29;1.0;0.29;2021;False
1143;2132;101.16;0.0;0.0;0.0;0.0;0.0;2021;False
1144;2018;95.75;0.0;0.0;0.0;0.0;0.0;2021;False
1145;11755;557.77;0.0;0.0;0.0;0.0;0.0;2021;False
1146;7280;345.44;0.0;0.0;0.0;0.0;0.0;2021;False
1147;2653;125.88;0.0;0.0;0.0;0.0;0.0;2021;False
1148;2896;137.42;0.0;0.0;0.0;0.0;0.0;2021;False
1149;9203;436.68;0.0;0.0;0.0;0.0;0.0;2021;False
1150;2505;118.86;0.0;0.0;0.0;0.0;0.0;2021;False
1151;108031;5126.07;1318.31;1318.31;0.26;1.0;0.26;2021;False
